id_higienizacao;id_unidade;id_tempo;data_hora_saida_paciente;data_hora_liberacao_leito
70000;3;20250701;2025-07-11 17:43:00;2025-07-11 20:09:00
70001;1;20250701;2025-07-10 14:52:00;2025-07-10 16:24:00
70002;2;20250702;2025-07-10 15:41:00;2025-07-10 17:42:00
70003;4;20250703;2025-07-15 09:55:00;2025-07-15 10:26:00
70004;3;20250703;2025-07-06 09:15:00;2025-07-06 10:00:00
70005;2;20250703;2025-07-14 11:11:00;2025-07-14 12:51:00
70006;2;20250704;2025-07-14 15:33:00;2025-07-14 17:26:00
70007;2;20250705;2025-07-16 10:19:00;2025-07-16 11:59:00
70008;1;20250706;2025-07-13 15:50:00;2025-07-13 16:53:00
70009;4;20250706;2025-07-18 09:48:00;2025-07-18 11:39:00
70010;4;20250706;2025-07-16 17:09:00;2025-07-16 18:08:00
70011;3;20250707;2025-07-18 15:02:00;2025-07-18 16:46:00
70012;5;20250708;2025-07-09 13:58:00;2025-07-09 15:46:00
70013;1;20250709;2025-07-19 16:13:00;2025-07-19 17:58:00
70014;1;20250710;2025-07-18 09:20:00;2025-07-18 11:07:00
70015;5;20250710;2025-07-22 11:27:00;2025-07-22 12:54:00
70016;3;20250710;2025-07-17 10:35:00;2025-07-17 11:12:00
70017;2;20250711;2025-07-13 14:26:00;2025-07-13 15:54:00
70018;4;20250711;2025-07-21 12:13:00;2025-07-21 14:19:00
70019;1;20250711;2025-07-16 08:31:00;2025-07-16 10:36:00
70020;2;20250712;2025-07-16 12:12:00;2025-07-16 13:04:00
70021;2;20250712;2025-07-23 15:04:00;2025-07-23 16:34:00
70022;3;20250713;2025-07-23 12:41:00;2025-07-23 14:40:00
70023;3;20250713;2025-07-19 12:11:00;2025-07-19 13:08:00
70024;5;20250714;2025-07-21 14:10:00;2025-07-21 16:24:00
70025;2;20250714;2025-07-22 14:05:00;2025-07-22 16:31:00
70026;3;20250715;2025-07-19 14:00:00;2025-07-19 15:48:00
70027;4;20250715;2025-07-24 15:02:00;2025-07-24 16:53:00
70028;2;20250715;2025-07-27 10:04:00;2025-07-27 12:05:00
70029;3;20250716;2025-07-19 15:02:00;2025-07-19 17:05:00
70030;5;20250716;2025-07-22 08:38:00;2025-07-22 09:27:00
70031;2;20250716;2025-07-21 17:18:00;2025-07-21 19:16:00
70032;3;20250717;2025-07-19 18:04:00;2025-07-19 19:31:00
70033;1;20250717;2025-07-26 12:12:00;2025-07-26 14:03:00
70034;5;20250718;2025-07-22 10:20:00;2025-07-22 12:40:00
70035;5;20250718;2025-07-21 15:31:00;2025-07-21 17:53:00
70036;1;20250719;2025-07-26 08:02:00;2025-07-26 08:49:00
70037;4;20250719;2025-07-30 17:19:00;2025-07-30 19:30:00
70038;2;20250719;2025-07-29 08:28:00;2025-07-29 09:38:00
70039;2;20250720;2025-08-01 09:39:00;2025-08-01 11:43:00
70040;4;20250720;2025-07-29 18:59:00;2025-07-29 21:21:00
70041;3;20250721;2025-07-22 17:43:00;2025-07-22 19:49:00
70042;3;20250721;2025-07-26 17:46:00;2025-07-26 19:29:00
70043;2;20250721;2025-07-27 11:08:00;2025-07-27 12:39:00
70044;4;20250722;2025-08-03 12:52:00;2025-08-03 13:22:00
70045;5;20250722;2025-07-29 10:41:00;2025-07-29 13:01:00
70046;5;20250723;2025-07-29 18:52:00;2025-07-29 20:03:00
70047;5;20250724;2025-07-29 17:02:00;2025-07-29 19:23:00
70048;5;20250725;2025-07-29 11:31:00;2025-07-29 13:11:00
70049;5;20250726;2025-07-28 10:15:00;2025-07-28 11:09:00
70050;1;20250726;2025-08-06 14:24:00;2025-08-06 15:42:00
70051;5;20250727;2025-08-03 18:24:00;2025-08-03 19:04:00
70052;2;20250727;2025-07-30 14:28:00;2025-07-30 16:09:00
70053;3;20250727;2025-07-30 12:17:00;2025-07-30 13:50:00
70054;2;20250728;2025-08-09 15:51:00;2025-08-09 16:58:00
70055;5;20250728;2025-07-29 17:40:00;2025-07-29 20:07:00
70056;5;20250728;2025-08-09 17:44:00;2025-08-09 19:27:00
70057;4;20250729;2025-08-06 18:11:00;2025-08-06 19:04:00
70058;5;20250729;2025-08-08 10:23:00;2025-08-08 11:34:00
70059;2;20250729;2025-08-04 12:07:00;2025-08-04 13:00:00
70060;5;20250730;2025-07-31 11:27:00;2025-07-31 12:10:00
70061;2;20250730;2025-08-02 11:52:00;2025-08-02 12:48:00
70062;1;20250731;2025-08-10 15:40:00;2025-08-10 17:35:00
70063;4;20250731;2025-08-02 15:00:00;2025-08-02 16:24:00
