id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80121;5;20250901;1;True;84.1
80122;1;20250901;3;True;85.3
80123;5;20250902;2;True;5.6
80124;3;20250902;3;True;53.5
80125;4;20250903;3;True;17.6
80126;5;20250903;2;True;11.1
80127;2;20250903;2;True;18.3
80128;4;20250904;1;True;46.2
80129;3;20250904;3;True;25.1
80130;4;20250904;2;True;25.4
80131;5;20250905;4;True;20.6
80132;4;20250905;4;True;56.7
80133;1;20250905;2;False;50.7
80134;5;20250906;4;False;57.0
80135;3;20250907;2;True;68.7
80136;5;20250907;1;True;66.5
80137;3;20250908;3;True;66.6
80138;4;20250908;4;True;76.0
80139;3;20250909;4;False;31.4
80140;3;20250910;4;True;16.1
80141;4;20250911;4;True;29.0
80142;5;20250911;4;True;53.2
80143;5;20250912;4;True;77.5
80144;2;20250912;2;True;16.8
80145;5;20250912;4;False;20.3
80146;4;20250913;3;True;35.0
80147;5;20250913;3;True;77.9
80148;4;20250914;2;False;70.5
80149;5;20250914;1;True;84.8
80150;4;20250915;2;False;59.7
80151;3;20250916;2;True;52.1
80152;5;20250917;1;True;64.6
80153;1;20250918;3;True;63.9
80154;4;20250919;1;True;67.9
80155;4;20250919;2;True;80.8
80156;4;20250919;4;True;19.6
80157;2;20250920;1;True;45.8
80158;1;20250921;4;False;62.7
80159;3;20250922;4;False;61.6
80160;3;20250922;2;True;76.3
80161;5;20250922;3;True;83.2
80162;3;20250923;1;True;38.8
80163;4;20250924;2;True;72.3
80164;4;20250924;3;True;87.8
80165;1;20250924;2;True;70.0
80166;5;20250925;3;True;65.3
80167;2;20250926;3;True;81.6
80168;1;20250926;4;True;49.2
80169;2;20250926;1;True;62.1
80170;1;20250927;4;True;87.6
80171;5;20250927;1;True;89.2
80172;2;20250928;1;False;32.7
80173;3;20250929;3;True;61.4
80174;5;20250929;4;False;66.8
80175;4;20250930;3;True;38.7
