id_escala;id_medico;id_tempo;status_presenca;horas_atraso
90920;1;20260101;Atraso;0.9
90921;2;20260101;Presente;0.0
90922;3;20260101;Presente;0.0
90923;4;20260101;Atraso;0.6
90924;5;20260101;Atraso;3.2
90925;1;20260102;Presente;0.0
90926;2;20260102;Atraso;2.4
90927;3;20260102;Presente;0.0
90928;4;20260102;Presente;0.0
90929;5;20260102;Presente;0.0
90930;1;20260103;Presente;0.0
90931;2;20260103;Presente;0.0
90932;3;20260103;Presente;0.0
90933;4;20260103;Presente;0.0
90934;5;20260103;Falta Justificada;0.0
90935;1;20260104;Presente;0.0
90936;2;20260104;Presente;0.0
90937;3;20260104;Falta Justificada;0.0
90938;4;20260104;Presente;0.0
90939;5;20260104;Presente;0.0
90940;1;20260105;Atraso;1.1
90941;2;20260105;Falta Justificada;0.0
90942;3;20260105;Falta Justificada;0.0
90943;4;20260105;Atraso;1.6
90944;5;20260105;Presente;0.0
90945;1;20260106;Presente;0.0
90946;2;20260106;Presente;0.0
90947;3;20260106;Presente;0.0
90948;4;20260106;Presente;0.0
90949;5;20260106;Atraso;2.6
90950;1;20260107;Presente;0.0
90951;2;20260107;Presente;0.0
90952;3;20260107;Atraso;3.1
90953;4;20260107;Presente;0.0
90954;5;20260107;Presente;0.0
90955;1;20260108;Presente;0.0
90956;2;20260108;Atraso;1.7
90957;3;20260108;Falta Justificada;0.0
90958;4;20260108;Presente;0.0
90959;5;20260108;Presente;0.0
90960;1;20260109;Falta Justificada;0.0
90961;2;20260109;Presente;0.0
90962;3;20260109;Presente;0.0
90963;4;20260109;Atraso;3.3
90964;5;20260109;Presente;0.0
90965;1;20260110;Presente;0.0
90966;2;20260110;Falta Justificada;0.0
90967;3;20260110;Presente;0.0
90968;4;20260110;Presente;0.0
90969;5;20260110;Atraso;3.4
90970;1;20260111;Presente;0.0
90971;2;20260111;Falta Justificada;0.0
90972;3;20260111;Presente;0.0
90973;4;20260111;Presente;0.0
90974;5;20260111;Presente;0.0
90975;1;20260112;Atraso;0.6
90976;2;20260112;Falta Justificada;0.0
90977;3;20260112;Falta Justificada;0.0
90978;4;20260112;Presente;0.0
90979;5;20260112;Presente;0.0
90980;1;20260113;Presente;0.0
90981;2;20260113;Presente;0.0
90982;3;20260113;Presente;0.0
90983;4;20260113;Atraso;3.4
90984;5;20260113;Falta Justificada;0.0
90985;1;20260114;Presente;0.0
90986;2;20260114;Presente;0.0
90987;3;20260114;Presente;0.0
90988;4;20260114;Falta Justificada;0.0
90989;5;20260114;Atraso;1.9
90990;1;20260115;Presente;0.0
90991;2;20260115;Presente;0.0
90992;3;20260115;Presente;0.0
90993;4;20260115;Falta Justificada;0.0
90994;5;20260115;Presente;0.0
90995;1;20260116;Falta Justificada;0.0
90996;2;20260116;Presente;0.0
90997;3;20260116;Atraso;3.1
90998;4;20260116;Presente;0.0
90999;5;20260116;Atraso;1.8
91000;1;20260117;Falta Justificada;0.0
91001;2;20260117;Presente;0.0
91002;3;20260117;Presente;0.0
91003;4;20260117;Presente;0.0
91004;5;20260117;Presente;0.0
91005;1;20260118;Falta Justificada;0.0
91006;2;20260118;Atraso;0.9
91007;3;20260118;Presente;0.0
91008;4;20260118;Presente;0.0
91009;5;20260118;Falta Justificada;0.0
91010;1;20260119;Presente;0.0
91011;2;20260119;Presente;0.0
91012;3;20260119;Presente;0.0
91013;4;20260119;Presente;0.0
91014;5;20260119;Presente;0.0
91015;1;20260120;Presente;0.0
91016;2;20260120;Presente;0.0
91017;3;20260120;Presente;0.0
91018;4;20260120;Falta Justificada;0.0
91019;5;20260120;Presente;0.0
91020;1;20260121;Presente;0.0
91021;2;20260121;Presente;0.0
91022;3;20260121;Presente;0.0
91023;4;20260121;Atraso;2.4
91024;5;20260121;Atraso;2.1
91025;1;20260122;Falta Justificada;0.0
91026;2;20260122;Presente;0.0
91027;3;20260122;Presente;0.0
91028;4;20260122;Atraso;3.3
91029;5;20260122;Presente;0.0
91030;1;20260123;Presente;0.0
91031;2;20260123;Atraso;3.3
91032;3;20260123;Presente;0.0
91033;4;20260123;Atraso;3.1
91034;5;20260123;Presente;0.0
91035;1;20260124;Presente;0.0
91036;2;20260124;Presente;0.0
91037;3;20260124;Atraso;2.2
91038;4;20260124;Presente;0.0
91039;5;20260124;Presente;0.0
91040;1;20260125;Presente;0.0
91041;2;20260125;Presente;0.0
91042;3;20260125;Presente;0.0
91043;4;20260125;Presente;0.0
91044;5;20260125;Presente;0.0
91045;1;20260126;Presente;0.0
91046;2;20260126;Presente;0.0
91047;3;20260126;Presente;0.0
91048;4;20260126;Presente;0.0
91049;5;20260126;Presente;0.0
91050;1;20260127;Presente;0.0
91051;2;20260127;Presente;0.0
91052;3;20260127;Presente;0.0
91053;4;20260127;Presente;0.0
91054;5;20260127;Atraso;0.7
91055;1;20260128;Presente;0.0
91056;2;20260128;Falta Justificada;0.0
91057;3;20260128;Presente;0.0
91058;4;20260128;Presente;0.0
91059;5;20260128;Presente;0.0
91060;1;20260129;Presente;0.0
91061;2;20260129;Presente;0.0
91062;3;20260129;Presente;0.0
91063;4;20260129;Presente;0.0
91064;5;20260129;Presente;0.0
91065;1;20260130;Presente;0.0
91066;2;20260130;Presente;0.0
91067;3;20260130;Presente;0.0
91068;4;20260130;Atraso;2.4
91069;5;20260130;Presente;0.0
91070;1;20260131;Presente;0.0
91071;2;20260131;Presente;0.0
91072;3;20260131;Presente;0.0
91073;4;20260131;Atraso;2.6
91074;5;20260131;Falta Justificada;0.0
