id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60130;1;20260104;31;1425;56;0
60131;2;20260104;147;1518;36;0
60132;3;20260104;145;3438;72;0
60133;4;20260104;78;1427;45;1
60134;5;20260104;38;1722;52;0
60135;1;20260111;61;1714;50;0
60136;2;20260111;75;3342;40;2
60137;3;20260111;130;1917;69;0
60138;4;20260111;70;3277;51;0
60139;5;20260111;135;3445;32;0
60140;1;20260118;73;2982;51;0
60141;2;20260118;110;1057;59;1
60142;3;20260118;149;1911;77;1
60143;4;20260118;95;1733;58;0
60144;5;20260118;146;1780;40;0
60145;1;20260125;54;2513;28;0
60146;2;20260125;132;1421;46;0
60147;3;20260125;62;1662;96;0
60148;4;20260125;50;953;24;1
60149;5;20260125;130;1070;50;0
