id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50224;4;3;20260103;4;27;63;46;Realizado
50225;5;1;20260103;3;16;45;40;Realizado
50226;1;1;20260104;;19;41;58;Realizado
50227;6;5;20260104;;25;140;54;Realizado
50228;3;2;20260104;;19;25;44;Cancelado
50229;4;2;20260105;1;23;113;51;Realizado
50230;6;3;20260106;;25;93;31;Cancelado
50231;2;1;20260107;;41;169;60;Realizado
50232;6;2;20260109;;13;105;21;Realizado
50233;2;2;20260111;;38;175;39;Realizado
50234;2;3;20260111;;16;148;25;Realizado
50235;2;2;20260112;;41;16;37;Realizado
50236;4;2;20260113;4;45;167;33;Realizado
50237;3;4;20260114;;11;84;27;Realizado
50238;3;5;20260114;;32;119;26;Cancelado
50239;6;3;20260114;;20;25;36;Realizado
50240;1;2;20260115;;29;76;40;Realizado
50241;5;2;20260115;3;31;114;38;Realizado
50242;3;5;20260115;;41;21;39;Realizado
50243;1;5;20260116;;19;34;27;Cancelado
50244;6;2;20260116;;11;127;46;Realizado
50245;4;3;20260117;1;37;168;16;Cancelado
50246;4;5;20260118;2;17;89;55;Realizado
50247;3;2;20260119;;45;105;30;Realizado
50248;2;3;20260120;;28;74;39;Cancelado
50249;2;1;20260121;;24;119;34;Realizado
50250;6;3;20260123;;18;92;40;Realizado
50251;5;3;20260124;3;28;109;18;Realizado
50252;6;4;20260128;;23;136;56;Realizado
50253;1;5;20260130;;24;130;30;Cancelado
50254;5;3;20260130;3;17;75;39;Realizado
