id_transacao;id_tempo;id_unidade;id_convenio;receita_bruta;valor_glosa_inicial;valor_glosa_recuperada;custos_operacionais;data_pagamento_prevista;data_pagamento_real
100469;20260301;2;1;16334.1;0.0;0.0;8921.54;2026-04-09;2026-04-24
100470;20260301;4;2;3343.89;0.0;0.0;1493.47;2026-04-17;
100471;20260301;4;1;1449.56;0.0;0.0;801.49;2026-04-01;2026-04-03
100472;20260302;3;1;15512.91;0.0;0.0;8383.21;2026-04-10;2026-04-19
100473;20260302;4;2;4839.99;0.0;0.0;2546.14;2026-04-19;2026-05-03
100474;20260302;4;2;3166.16;0.0;0.0;1322.94;2026-04-19;2026-04-19
100475;20260303;1;3;3482.78;0.0;0.0;1720.53;2026-05-04;2026-05-03
100476;20260304;1;3;10397.68;0.0;0.0;4534.6;2026-05-13;2026-05-25
100477;20260304;2;1;8825.53;0.0;0.0;3752.2;2026-04-10;2026-04-15
100478;20260304;5;2;8627.59;0.0;0.0;4411.72;2026-04-23;2026-05-05
100479;20260305;1;1;7403.12;0.0;0.0;3595.22;2026-04-08;2026-04-20
100480;20260305;1;3;4614.73;932.63;736.51;1859.75;2026-05-07;2026-05-20
100481;20260305;4;3;1960.91;0.0;0.0;864.33;2026-05-05;2026-05-17
100482;20260306;2;1;4102.25;0.0;0.0;1967.56;2026-04-08;2026-04-14
100483;20260307;2;3;5396.42;0.0;0.0;3067.93;2026-05-10;2026-05-12
100484;20260308;2;3;13475.59;0.0;0.0;5668.38;2026-05-19;
100485;20260308;5;1;7124.48;1519.24;467.09;3177.55;2026-04-14;2026-04-11
100486;20260308;4;2;16668.6;0.0;0.0;9725.36;2026-05-02;2026-05-16
100487;20260309;4;1;16948.55;0.0;0.0;9802.39;2026-04-19;2026-04-25
100488;20260309;4;3;6508.41;0.0;0.0;3108.96;2026-05-12;2026-05-09
100489;20260310;2;1;12955.71;0.0;0.0;7011.8;2026-04-19;2026-04-20
100490;20260310;5;2;2968.53;0.0;0.0;1454.15;2026-04-26;2026-05-01
100491;20260310;3;2;11075.56;1826.41;1404.6;4540.49;2026-05-02;2026-05-06
100492;20260311;4;2;11348.35;0.0;0.0;6454.58;2026-05-01;2026-05-01
100493;20260311;1;1;3348.83;214.91;110.7;1549.78;2026-04-13;2026-04-25
100494;20260312;1;3;3871.55;0.0;0.0;1690.45;2026-05-13;2026-05-19
100495;20260313;5;3;7000.85;0.0;0.0;3668.27;2026-05-19;2026-05-27
100496;20260313;3;1;1612.7;0.0;0.0;770.19;2026-04-13;2026-04-10
100497;20260313;1;2;19613.15;0.0;0.0;11453.75;2026-05-08;2026-05-07
100498;20260314;2;3;7674.4;0.0;0.0;4222.45;2026-05-21;2026-05-18
100499;20260314;3;3;2822.3;0.0;0.0;1169.57;2026-05-14;2026-05-14
100500;20260315;3;1;12847.58;0.0;0.0;5473.09;2026-04-21;2026-04-27
100501;20260315;3;1;4974.68;1009.17;575.74;2898.77;2026-04-18;2026-04-22
100502;20260316;2;1;18514.33;0.0;0.0;8075.7;2026-04-27;2026-04-29
100503;20260316;5;2;2512.83;345.03;195.9;1172.14;2026-05-02;2026-05-17
100504;20260317;2;2;5064.5;0.0;0.0;2962.28;2026-05-04;2026-05-04
100505;20260317;2;1;11119.98;0.0;0.0;4779.96;2026-04-26;2026-04-27
100506;20260318;4;1;8859.37;0.0;0.0;4858.26;2026-04-25;2026-04-24
100507;20260318;3;1;10998.48;0.0;0.0;6444.8;2026-04-26;2026-05-09
100508;20260318;4;2;1508.54;0.0;0.0;717.14;2026-05-03;2026-05-04
100509;20260319;3;2;19919.58;0.0;0.0;8711.47;2026-05-14;2026-05-12
100510;20260320;4;2;8111.79;0.0;0.0;3707.98;2026-05-12;2026-05-09
100511;20260320;3;2;13081.45;0.0;0.0;7441.36;2026-05-13;2026-05-17
100512;20260321;3;2;3931.29;0.0;0.0;2153.66;2026-05-07;2026-05-20
100513;20260322;4;3;7474.49;0.0;0.0;3728.84;2026-05-25;2026-05-23
100514;20260322;5;2;21896.32;0.0;0.0;12670.31;2026-05-18;2026-05-21
100515;20260323;4;3;4005.54;0.0;0.0;1748.73;2026-05-24;2026-06-05
100516;20260323;3;1;9248.39;0.0;0.0;5516.02;2026-04-27;
100517;20260324;4;3;2165.26;0.0;0.0;1277.41;2026-05-24;2026-06-07
100518;20260324;5;2;17535.47;0.0;0.0;7172.12;2026-05-19;2026-06-03
100519;20260324;5;3;2832.65;0.0;0.0;1468.69;2026-05-25;2026-06-01
100520;20260325;4;2;5124.85;1239.34;802.75;3037.84;2026-05-12;2026-05-24
