id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
38220;1;20260401;1;3;346
38221;1;20260401;2;10;476
38222;1;20260401;3;20;279
38223;1;20260401;4;19;344
38224;1;20260401;5;9;325
38225;2;20260401;1;24;389
38226;2;20260401;2;7;223
38227;2;20260401;3;4;976
38228;2;20260401;4;22;163
38229;2;20260401;5;4;451
38230;3;20260401;1;7;418
38231;3;20260401;2;6;275
38232;3;20260401;3;5;303
38233;3;20260401;4;7;271
38234;3;20260401;5;4;267
38235;4;20260401;1;13;1017
38236;4;20260401;2;25;256
38237;4;20260401;3;11;197
38238;4;20260401;4;18;202
38239;4;20260401;5;23;272
38240;5;20260401;1;5;441
38241;5;20260401;2;24;489
38242;5;20260401;3;13;191
38243;5;20260401;4;19;1077
38244;5;20260401;5;6;399
38245;6;20260401;1;15;313
38246;6;20260401;2;19;168
38247;6;20260401;3;15;404
38248;6;20260401;4;19;380
38249;6;20260401;5;17;197
38250;1;20260402;1;3;343
38251;1;20260402;2;11;465
38252;1;20260402;3;7;272
38253;1;20260402;4;21;323
38254;1;20260402;5;10;315
38255;2;20260402;1;19;370
38256;2;20260402;2;8;215
38257;2;20260402;3;5;971
38258;2;20260402;4;11;152
38259;2;20260402;5;25;426
38260;3;20260402;1;17;401
38261;3;20260402;2;18;257
38262;3;20260402;3;20;283
38263;3;20260402;4;24;247
38264;3;20260402;5;5;262
38265;4;20260402;1;4;1013
38266;4;20260402;2;17;239
38267;4;20260402;3;21;176
38268;4;20260402;4;16;186
38269;4;20260402;5;6;266
38270;5;20260402;1;15;426
38271;5;20260402;2;20;469
38272;5;20260402;3;21;170
38273;5;20260402;4;21;1056
38274;5;20260402;5;21;378
38275;6;20260402;1;10;303
38276;6;20260402;2;20;148
38277;6;20260402;3;24;380
38278;6;20260402;4;18;362
38279;6;20260402;5;5;192
38280;1;20260403;1;14;329
38281;1;20260403;2;7;458
38282;1;20260403;3;14;258
38283;1;20260403;4;16;307
38284;1;20260403;5;5;310
38285;2;20260403;1;9;361
38286;2;20260403;2;15;200
38287;2;20260403;3;19;952
38288;2;20260403;4;11;141
38289;2;20260403;5;5;421
38290;3;20260403;1;2;399
38291;3;20260403;2;4;253
38292;3;20260403;3;8;275
38293;3;20260403;4;6;241
38294;3;20260403;5;23;239
38295;4;20260403;1;18;995
38296;4;20260403;2;7;232
38297;4;20260403;3;8;168
38298;4;20260403;4;9;177
38299;4;20260403;5;24;242
38300;5;20260403;1;21;405
38301;5;20260403;2;6;463
38302;5;20260403;3;5;165
38303;5;20260403;4;23;1033
38304;5;20260403;5;19;359
38305;6;20260403;1;18;285
38306;6;20260403;2;25;123
38307;6;20260403;3;9;371
38308;6;20260403;4;13;349
38309;6;20260403;5;7;185
38310;1;20260404;1;2;327
38311;1;20260404;2;16;442
38312;1;20260404;3;25;233
38313;1;20260404;4;11;296
38314;1;20260404;5;6;304
38315;2;20260404;1;20;341
38316;2;20260404;2;21;179
38317;2;20260404;3;2;950
38318;2;20260404;4;16;125
38319;2;20260404;5;10;411
38320;3;20260404;1;22;377
38321;3;20260404;2;17;236
38322;3;20260404;3;6;269
38323;3;20260404;4;21;220
38324;3;20260404;5;15;224
38325;4;20260404;1;15;980
38326;4;20260404;2;20;212
38327;4;20260404;3;11;157
38328;4;20260404;4;4;173
38329;4;20260404;5;16;226
38330;5;20260404;1;20;385
38331;5;20260404;2;21;442
38332;5;20260404;3;14;151
38333;5;20260404;4;17;1016
38334;5;20260404;5;2;357
38335;6;20260404;1;19;266
38336;6;20260404;2;2;121
38337;6;20260404;3;19;352
38338;6;20260404;4;21;328
38339;6;20260404;5;16;169
38340;1;20260405;1;5;322
38341;1;20260405;2;20;422
38342;1;20260405;3;21;212
