id_transacao;id_tempo;id_unidade;id_convenio;receita_bruta;valor_glosa_inicial;valor_glosa_recuperada;custos_operacionais;data_pagamento_prevista;data_pagamento_real
8000;20250701;3;1;4834;483.40000000000003;241.70000000000002;2900.4;20250701;20250701
8001;20250704;3;2;3690;369.0;184.5;2214.0;20250704;20250704
8002;20250707;1;1;2703;270.3;135.15;1621.8;20250707;20250707
8003;20250710;2;2;3625;362.5;181.25;2175.0;20250710;20250710
8004;20250713;1;1;2232;223.20000000000002;111.60000000000001;1339.2;20250713;20250713
8005;20250716;1;1;3510;351.0;175.5;2106.0;20250716;20250716
8006;20250719;3;2;2534;253.4;126.7;1520.3999999999999;20250719;20250719
8007;20250722;3;1;4753;475.3;237.65;2851.7999999999997;20250722;20250722
8008;20250725;2;1;1844;184.4;92.2;1106.3999999999999;20250725;20250725
8009;20250728;3;1;1989;198.9;99.45;1193.3999999999999;20250728;20250728
8010;20250731;1;1;1766;176.60000000000002;88.30000000000001;1059.6;20250731;20250731
8011;20250803;2;1;3644;364.40000000000003;182.20000000000002;2186.4;20250803;20250803
8012;20250806;1;2;4120;412.0;206.0;2472.0;20250806;20250806
8013;20250809;1;1;2914;291.40000000000003;145.70000000000002;1748.3999999999999;20250809;20250809
8014;20250812;3;1;2391;239.10000000000002;119.55000000000001;1434.6;20250812;20250812
8015;20250815;2;1;2187;218.70000000000002;109.35000000000001;1312.2;20250815;20250815
8016;20250818;2;2;2544;254.4;127.2;1526.3999999999999;20250818;20250818
8017;20250821;1;2;1594;159.4;79.7;956.4;20250821;20250821
8018;20250824;1;1;4130;413.0;206.5;2478.0;20250824;20250824
8019;20250827;3;1;3584;358.40000000000003;179.20000000000002;2150.4;20250827;20250827
8020;20250830;3;1;4169;416.90000000000003;208.45000000000002;2501.4;20250830;20250830
8021;20250902;2;1;1376;137.6;68.8;825.6;20250902;20250902
8022;20250905;1;2;1669;166.9;83.45;1001.4;20250905;20250905
8023;20250908;2;2;4487;448.70000000000005;224.35000000000002;2692.2;20250908;20250908
8024;20250911;1;1;1287;128.70000000000002;64.35000000000001;772.1999999999999;20250911;20250911
