id_movimentacao;id_medicamento;id_tempo;id_unidade;quantidade_saida;saldo_atual
30000;3;20250701;3;61;1485
30001;1;20250706;1;67;724
30002;2;20250711;2;97;1480
30003;1;20250716;1;92;556
30004;3;20250721;3;45;828
30005;2;20250726;2;22;817
30006;3;20250731;2;26;783
30007;2;20250805;2;71;925
30008;2;20250810;3;84;1039
30009;1;20250815;2;21;1805
30010;1;20250820;3;28;781
30011;3;20250825;1;75;1573
30012;1;20250830;3;86;1332
30013;1;20250904;2;48;1430
30014;1;20250909;3;82;824
30015;1;20250914;3;20;1150
30016;1;20250919;3;37;660
30017;2;20250924;3;70;1084
30018;3;20250929;2;34;1844
30019;2;20251004;2;70;752
30020;1;20251009;3;92;1275
30021;1;20251014;1;69;1140
30022;3;20251019;3;27;1245
30023;1;20251024;3;13;829
30024;3;20251029;2;76;576
30025;2;20251103;3;23;1278
30026;2;20251108;2;41;543
30027;1;20251113;3;58;544
30028;1;20251118;3;89;788
30029;1;20251123;3;65;1592
30030;2;20251128;1;66;1464
30031;2;20251203;3;28;1721
30032;1;20251208;2;42;1698
30033;3;20251213;1;36;1413
30034;2;20251218;1;63;654
30035;1;20251223;1;67;670
30036;3;20251228;1;57;920
30037;1;20260102;1;1;1204
30038;2;20260107;3;25;1652
30039;2;20260112;2;72;1816
30040;1;20260117;2;71;1032
30041;1;20260122;1;67;1993
30042;3;20260127;3;59;1267
30043;2;20260201;3;11;967
30044;3;20260206;2;72;1833
30045;1;20260211;2;27;1150
30046;1;20260216;1;54;637
30047;2;20260221;1;46;1137
30048;3;20260226;2;11;547
30049;2;20260303;1;15;776
30050;1;20260308;1;44;1202
30051;3;20260313;2;95;538
30052;3;20260318;1;88;1663
30053;1;20260323;3;44;1063
30054;2;20260328;3;58;994
30055;2;20260402;1;49;831
30056;1;20260407;2;74;1134
30057;1;20260412;1;23;1998
30058;2;20260417;1;19;1542
30059;2;20260422;2;40;1407
30060;2;20260427;3;46;1421
