id_procedimento_instancia;id_tipo_procedimento;id_unidade;id_tempo;id_equipamento;tempo_preparo_minutos;tempo_execucao_minutos;tempo_limpeza_minutos;status_agendamento
50000;1;3;20250701;1;28;31;43;Realizado
50001;1;3;20250703;1;15;105;44;Realizado
50002;1;2;20250705;1;24;62;31;Realizado
50003;2;1;20250707;1;30;40;45;Realizado
50004;2;1;20250709;2;11;120;22;Realizado
50005;2;3;20250711;2;28;54;44;Realizado
50006;1;2;20250713;1;23;82;43;Realizado
50007;3;3;20250715;2;26;71;36;Realizado
50008;2;1;20250717;2;18;115;41;Realizado
50009;3;1;20250719;1;13;64;15;Realizado
50010;2;2;20250721;1;18;100;18;Realizado
50011;3;2;20250723;2;25;112;18;Realizado
50012;3;1;20250725;2;16;53;41;Realizado
50013;2;1;20250727;1;12;72;45;Realizado
50014;1;2;20250729;1;21;61;30;Realizado
50015;3;3;20250731;2;13;39;30;Realizado
50016;3;3;20250802;1;27;49;41;Realizado
50017;2;1;20250804;2;21;72;15;Realizado
50018;3;3;20250806;2;12;87;28;Realizado
50019;1;3;20250808;2;26;28;18;Realizado
50020;3;3;20250810;2;28;67;33;Realizado
50021;2;1;20250812;1;18;79;39;Realizado
50022;1;1;20250814;2;29;45;30;Realizado
50023;1;2;20250816;1;17;94;32;Realizado
50024;1;2;20250818;1;24;62;19;Realizado
50025;1;1;20250820;2;12;24;43;Realizado
50026;1;3;20250822;2;13;38;41;Realizado
50027;3;2;20250824;2;12;90;26;Realizado
50028;3;3;20250826;2;24;20;22;Realizado
50029;3;1;20250828;2;29;98;39;Realizado
50030;1;2;20250830;2;23;24;20;Realizado
50031;2;1;20250901;1;20;47;29;Realizado
50032;1;3;20250903;1;11;65;37;Realizado
50033;2;2;20250905;2;12;37;38;Realizado
50034;3;3;20250907;1;12;24;28;Realizado
50035;3;3;20250909;1;17;92;16;Realizado
50036;3;1;20250911;1;19;67;27;Realizado
50037;3;1;20250913;2;18;98;23;Realizado
50038;1;2;20250915;2;13;83;40;Realizado
50039;3;1;20250917;1;11;91;42;Realizado
50040;3;2;20250919;2;19;91;25;Realizado
50041;2;3;20250921;1;17;48;44;Realizado
50042;2;2;20250923;1;22;37;34;Realizado
50043;1;1;20250925;1;18;49;19;Realizado
50044;2;1;20250927;1;29;110;16;Realizado
50045;1;3;20250929;1;24;69;31;Realizado
50046;3;2;20251001;2;21;32;30;Realizado
50047;3;2;20251003;2;23;24;29;Realizado
50048;1;2;20251005;2;29;71;45;Realizado
50049;1;1;20251007;1;10;105;21;Realizado
50050;2;1;20251009;2;15;28;32;Realizado
50051;2;3;20251011;2;27;23;19;Realizado
50052;3;1;20251013;2;26;22;15;Realizado
50053;1;3;20251015;2;20;35;36;Realizado
50054;3;2;20251017;1;28;38;37;Realizado
50055;3;3;20251019;2;10;82;31;Realizado
50056;3;1;20251021;1;11;104;26;Realizado
50057;1;3;20251023;2;22;92;42;Realizado
50058;1;3;20251025;2;24;70;22;Realizado
50059;3;3;20251027;2;12;83;20;Realizado
50060;2;2;20251029;1;21;90;43;Realizado
50061;1;1;20251031;1;17;55;42;Realizado
50062;3;3;20251102;1;30;118;19;Realizado
50063;1;2;20251104;2;25;63;27;Realizado
50064;1;3;20251106;2;20;81;21;Realizado
50065;1;3;20251108;1;20;77;40;Realizado
50066;2;2;20251110;1;30;87;32;Realizado
50067;1;2;20251112;1;11;43;32;Realizado
50068;1;1;20251114;2;21;62;27;Realizado
50069;1;2;20251116;2;15;23;30;Realizado
50070;1;3;20251118;1;17;110;23;Realizado
50071;2;1;20251120;1;11;85;22;Realizado
50072;1;2;20251122;1;23;80;25;Realizado
50073;1;2;20251124;1;17;28;33;Realizado
50074;2;3;20251126;2;23;106;32;Realizado
50075;2;1;20251128;2;14;89;25;Realizado
50076;2;2;20251130;1;21;48;36;Realizado
50077;1;1;20251202;2;25;105;25;Realizado
50078;1;3;20251204;1;27;97;26;Realizado
50079;2;1;20251206;1;20;48;19;Realizado
50080;3;2;20251208;2;28;62;36;Realizado
50081;3;2;20251210;2;13;89;41;Realizado
50082;3;1;20251212;1;13;62;30;Realizado
50083;3;2;20251214;1;12;79;22;Realizado
50084;2;2;20251216;1;20;78;22;Realizado
50085;1;1;20251218;2;23;116;37;Realizado
50086;3;2;20251220;2;16;23;21;Realizado
50087;3;3;20251222;1;17;55;17;Realizado
50088;1;1;20251224;2;19;106;38;Realizado
50089;1;2;20251226;1;23;102;45;Realizado
50090;2;2;20251228;1;20;89;38;Realizado
50091;3;2;20251230;2;26;88;40;Realizado
50092;3;3;20260101;2;12;45;26;Realizado
50093;3;2;20260103;1;12;33;26;Realizado
50094;3;1;20260105;2;30;58;24;Realizado
50095;2;1;20260107;1;30;68;37;Realizado
50096;1;3;20260109;1;17;28;15;Realizado
50097;1;3;20260111;2;28;37;28;Realizado
50098;3;3;20260113;1;11;24;34;Realizado
50099;2;3;20260115;1;15;22;26;Realizado
50100;3;3;20260117;2;24;113;40;Realizado
50101;1;3;20260119;2;12;76;15;Realizado
50102;3;2;20260121;1;30;83;26;Realizado
50103;1;1;20260123;2;18;106;23;Realizado
50104;2;3;20260125;1;12;54;43;Realizado
50105;3;1;20260127;1;19;65;35;Realizado
50106;1;3;20260129;2;17;112;27;Realizado
50107;3;3;20260131;1;24;97;43;Realizado
50108;1;1;20260202;1;12;32;43;Realizado
50109;3;2;20260204;2;29;24;41;Realizado
50110;1;1;20260206;1;15;119;24;Realizado
50111;1;1;20260208;2;21;78;42;Realizado
50112;2;3;20260210;2;26;50;17;Realizado
50113;2;1;20260212;1;29;73;19;Realizado
50114;1;1;20260214;1;26;63;36;Realizado
50115;2;1;20260216;2;12;77;31;Realizado
50116;1;2;20260218;2;22;112;41;Realizado
50117;2;2;20260220;1;11;85;34;Realizado
50118;2;1;20260222;2;26;39;30;Realizado
50119;3;2;20260224;1;17;104;19;Realizado
50120;2;1;20260226;2;29;35;38;Realizado
50121;1;3;20260228;2;28;34;43;Realizado
50122;1;1;20260302;2;20;73;25;Realizado
50123;2;2;20260304;2;27;88;45;Realizado
50124;2;3;20260306;2;19;33;26;Realizado
50125;1;2;20260308;2;16;20;24;Realizado
50126;3;2;20260310;1;16;98;37;Realizado
50127;3;1;20260312;1;22;90;15;Realizado
50128;2;3;20260314;2;16;87;41;Realizado
50129;1;1;20260316;2;27;58;27;Realizado
50130;3;2;20260318;1;25;105;34;Realizado
50131;3;3;20260320;2;21;110;40;Realizado
50132;2;2;20260322;2;22;114;23;Realizado
50133;1;1;20260324;1;15;41;37;Realizado
50134;2;3;20260326;1;17;111;23;Realizado
50135;3;1;20260328;1;22;88;17;Realizado
50136;1;2;20260330;1;26;75;28;Realizado
50137;2;1;20260401;2;26;63;25;Realizado
50138;2;1;20260403;2;24;117;30;Realizado
50139;2;1;20260405;1;11;34;31;Realizado
50140;2;1;20260407;1;26;26;26;Realizado
50141;2;2;20260409;1;19;48;26;Realizado
50142;1;1;20260411;2;23;98;17;Realizado
50143;1;2;20260413;1;29;110;20;Realizado
50144;2;3;20260415;2;18;113;31;Realizado
50145;3;1;20260417;1;17;119;36;Realizado
50146;1;2;20260419;1;22;33;22;Realizado
50147;3;2;20260421;2;11;34;21;Realizado
50148;3;2;20260423;2;10;90;43;Realizado
50149;2;2;20260425;1;29;21;25;Realizado
50150;3;1;20260427;2;11;38;35;Realizado
50151;3;1;20260429;1;14;39;32;Realizado
