id_registro;id_unidade;id_tempo;consumo_agua_m3;consumo_energia_kwh;total_colaboradores_ativos;eventos_infeccao
60495;1;20250701;174;2508;54;1
66971;2;20250701;63;3905;80;2
66173;3;20250701;140;3543;57;0
66334;1;20250708;139;2963;52;0
63262;2;20250708;91;1835;35;2
61953;3;20250708;109;3139;55;3
61516;1;20250715;166;2738;76;3
62264;2;20250715;149;4794;75;3
61629;3;20250715;157;2415;81;2
68911;1;20250722;104;2636;33;3
64106;2;20250722;139;2023;35;1
69627;3;20250722;143;2313;60;0
69178;1;20250729;123;1669;44;0
62787;2;20250729;174;1061;56;3
64811;3;20250729;193;3175;80;0
64233;1;20250805;189;3160;86;3
64754;2;20250805;62;4323;93;0
69106;3;20250805;178;3561;48;3
61870;1;20250812;155;2308;61;3
60083;2;20250812;132;2406;71;2
68544;3;20250812;66;3256;56;3
60902;1;20250819;194;4292;78;0
63121;2;20250819;170;2382;94;2
62329;3;20250819;167;3925;85;0
68604;1;20250826;179;3605;20;0
69241;2;20250826;102;4375;68;0
66632;3;20250826;118;4066;55;1
61982;1;20250902;147;3770;78;2
60665;2;20250902;81;3609;97;0
61007;3;20250902;120;3036;24;2
66351;1;20250909;74;2058;20;3
67146;2;20250909;193;1695;45;3
69950;3;20250909;122;3502;21;2
66011;1;20250916;122;2050;23;1
60286;2;20250916;167;4154;34;1
69230;3;20250916;75;4338;42;1
62203;1;20250923;143;3951;21;0
61626;2;20250923;120;3660;92;1
61799;3;20250923;160;1414;69;3
68640;1;20250930;182;3206;58;0
68617;2;20250930;130;2898;20;2
67482;3;20250930;77;4719;77;3
69652;1;20251007;68;3548;85;3
61368;2;20251007;166;4824;53;1
62992;3;20251007;120;3439;90;2
68722;1;20251014;134;1772;68;2
66527;2;20251014;180;1200;79;0
66113;3;20251014;66;1743;24;2
64382;1;20251021;191;4273;46;3
69125;2;20251021;58;1194;25;2
61833;3;20251021;171;3869;72;0
67327;1;20251028;110;2393;35;2
65248;2;20251028;128;3724;44;2
60387;3;20251028;130;3121;78;3
60310;1;20251104;54;1770;68;0
65298;2;20251104;169;4031;71;2
63264;3;20251104;174;2809;77;0
62507;1;20251111;116;4100;33;3
69166;2;20251111;156;2411;28;1
65602;3;20251111;143;4141;47;3
68486;1;20251118;137;4386;73;2
60537;2;20251118;193;1958;27;2
67519;3;20251118;102;1742;41;1
67476;1;20251125;177;2117;63;2
65509;2;20251125;190;4673;22;0
62794;3;20251125;147;4823;35;0
65466;1;20251202;157;2989;84;1
62781;2;20251202;132;1595;54;0
64679;3;20251202;96;2029;31;2
66249;1;20251209;145;4398;46;3
64308;2;20251209;93;2604;47;1
65075;3;20251209;156;4738;45;2
69636;1;20251216;55;2452;66;2
65640;2;20251216;169;4255;44;2
63367;3;20251216;152;3169;49;3
67487;1;20251223;157;2089;47;2
65738;2;20251223;74;3027;75;3
68085;3;20251223;149;2917;67;2
64336;1;20251230;172;2075;97;1
68047;2;20251230;159;1082;74;1
63144;3;20251230;55;4730;76;1
69240;1;20260106;69;2399;59;0
68385;2;20260106;89;4762;93;0
60837;3;20260106;115;4399;37;0
66526;1;20260113;73;4987;28;3
60877;2;20260113;92;2168;74;2
60099;3;20260113;167;3643;89;1
61706;1;20260120;85;4880;58;3
68805;2;20260120;173;2231;60;0
60934;3;20260120;64;2166;51;1
61037;1;20260127;101;4757;63;3
68040;2;20260127;161;2131;86;1
63098;3;20260127;135;1390;24;1
66335;1;20260203;58;4610;86;0
69269;2;20260203;77;3830;84;0
60604;3;20260203;104;1553;44;0
66856;1;20260210;139;3630;55;2
61698;2;20260210;161;2893;84;3
61590;3;20260210;176;1806;97;2
69163;1;20260217;174;3320;100;3
68552;2;20260217;151;4348;80;1
64167;3;20260217;70;3072;34;3
62814;1;20260224;98;4948;51;3
61750;2;20260224;91;1490;96;3
67253;3;20260224;184;4493;40;2
64794;1;20260303;140;4710;34;0
63256;2;20260303;136;3976;92;2
60892;3;20260303;82;4037;87;3
65545;1;20260310;195;1799;98;3
63037;2;20260310;188;4281;66;3
63209;3;20260310;174;3979;92;1
63521;1;20260317;109;3596;100;2
64158;2;20260317;59;4487;37;3
63557;3;20260317;115;1127;35;2
69361;1;20260324;158;3144;100;2
69606;2;20260324;184;3301;81;2
61572;3;20260324;156;1891;40;0
61560;1;20260331;122;3057;63;2
67179;2;20260331;181;4530;20;1
68778;3;20260331;70;2485;59;0
61455;1;20260407;166;2948;76;2
63129;2;20260407;148;3937;50;2
65077;3;20260407;165;2572;50;1
62800;1;20260414;108;3900;89;2
69517;2;20260414;95;1936;93;2
69814;3;20260414;104;2448;28;1
64305;1;20260421;120;4309;74;1
65227;2;20260421;183;1018;40;1
66295;3;20260421;191;4612;23;3
67844;1;20260428;115;2124;27;1
69756;2;20260428;79;2835;40;3
68782;3;20260428;176;4034;29;2
