id_higienizacao;id_unidade;id_tempo;data_hora_saida_paciente;data_hora_liberacao_leito
70000;3;20250701;2026-04-28 14:00:00;2026-04-28 15:30:00
70001;3;20250703;2026-04-28 14:00:00;2026-04-28 15:30:00
70002;2;20250705;2026-04-28 14:00:00;2026-04-28 15:30:00
70003;1;20250707;2026-04-28 14:00:00;2026-04-28 15:30:00
70004;1;20250709;2026-04-28 14:00:00;2026-04-28 15:30:00
70005;3;20250711;2026-04-28 14:00:00;2026-04-28 15:30:00
70006;2;20250713;2026-04-28 14:00:00;2026-04-28 15:30:00
70007;3;20250715;2026-04-28 14:00:00;2026-04-28 15:30:00
70008;1;20250717;2026-04-28 14:00:00;2026-04-28 15:30:00
70009;1;20250719;2026-04-28 14:00:00;2026-04-28 15:30:00
70010;2;20250721;2026-04-28 14:00:00;2026-04-28 15:30:00
70011;2;20250723;2026-04-28 14:00:00;2026-04-28 15:30:00
70012;1;20250725;2026-04-28 14:00:00;2026-04-28 15:30:00
70013;1;20250727;2026-04-28 14:00:00;2026-04-28 15:30:00
70014;2;20250729;2026-04-28 14:00:00;2026-04-28 15:30:00
70015;3;20250731;2026-04-28 14:00:00;2026-04-28 15:30:00
70016;3;20250802;2026-04-28 14:00:00;2026-04-28 15:30:00
70017;1;20250804;2026-04-28 14:00:00;2026-04-28 15:30:00
70018;3;20250806;2026-04-28 14:00:00;2026-04-28 15:30:00
70019;3;20250808;2026-04-28 14:00:00;2026-04-28 15:30:00
70020;3;20250810;2026-04-28 14:00:00;2026-04-28 15:30:00
70021;1;20250812;2026-04-28 14:00:00;2026-04-28 15:30:00
70022;1;20250814;2026-04-28 14:00:00;2026-04-28 15:30:00
70023;2;20250816;2026-04-28 14:00:00;2026-04-28 15:30:00
70024;2;20250818;2026-04-28 14:00:00;2026-04-28 15:30:00
70025;1;20250820;2026-04-28 14:00:00;2026-04-28 15:30:00
70026;3;20250822;2026-04-28 14:00:00;2026-04-28 15:30:00
70027;2;20250824;2026-04-28 14:00:00;2026-04-28 15:30:00
70028;3;20250826;2026-04-28 14:00:00;2026-04-28 15:30:00
70029;1;20250828;2026-04-28 14:00:00;2026-04-28 15:30:00
70030;2;20250830;2026-04-28 14:00:00;2026-04-28 15:30:00
70031;1;20250901;2026-04-28 14:00:00;2026-04-28 15:30:00
70032;3;20250903;2026-04-28 14:00:00;2026-04-28 15:30:00
70033;2;20250905;2026-04-28 14:00:00;2026-04-28 15:30:00
70034;3;20250907;2026-04-28 14:00:00;2026-04-28 15:30:00
70035;3;20250909;2026-04-28 14:00:00;2026-04-28 15:30:00
70036;1;20250911;2026-04-28 14:00:00;2026-04-28 15:30:00
70037;1;20250913;2026-04-28 14:00:00;2026-04-28 15:30:00
70038;2;20250915;2026-04-28 14:00:00;2026-04-28 15:30:00
70039;1;20250917;2026-04-28 14:00:00;2026-04-28 15:30:00
70040;2;20250919;2026-04-28 14:00:00;2026-04-28 15:30:00
70041;3;20250921;2026-04-28 14:00:00;2026-04-28 15:30:00
70042;2;20250923;2026-04-28 14:00:00;2026-04-28 15:30:00
70043;1;20250925;2026-04-28 14:00:00;2026-04-28 15:30:00
70044;1;20250927;2026-04-28 14:00:00;2026-04-28 15:30:00
70045;3;20250929;2026-04-28 14:00:00;2026-04-28 15:30:00
70046;2;20251001;2026-04-28 14:00:00;2026-04-28 15:30:00
70047;2;20251003;2026-04-28 14:00:00;2026-04-28 15:30:00
70048;2;20251005;2026-04-28 14:00:00;2026-04-28 15:30:00
70049;1;20251007;2026-04-28 14:00:00;2026-04-28 15:30:00
70050;1;20251009;2026-04-28 14:00:00;2026-04-28 15:30:00
70051;3;20251011;2026-04-28 14:00:00;2026-04-28 15:30:00
70052;1;20251013;2026-04-28 14:00:00;2026-04-28 15:30:00
70053;3;20251015;2026-04-28 14:00:00;2026-04-28 15:30:00
70054;2;20251017;2026-04-28 14:00:00;2026-04-28 15:30:00
70055;3;20251019;2026-04-28 14:00:00;2026-04-28 15:30:00
70056;1;20251021;2026-04-28 14:00:00;2026-04-28 15:30:00
70057;3;20251023;2026-04-28 14:00:00;2026-04-28 15:30:00
70058;3;20251025;2026-04-28 14:00:00;2026-04-28 15:30:00
70059;3;20251027;2026-04-28 14:00:00;2026-04-28 15:30:00
70060;2;20251029;2026-04-28 14:00:00;2026-04-28 15:30:00
70061;1;20251031;2026-04-28 14:00:00;2026-04-28 15:30:00
70062;3;20251102;2026-04-28 14:00:00;2026-04-28 15:30:00
70063;2;20251104;2026-04-28 14:00:00;2026-04-28 15:30:00
70064;3;20251106;2026-04-28 14:00:00;2026-04-28 15:30:00
70065;3;20251108;2026-04-28 14:00:00;2026-04-28 15:30:00
70066;2;20251110;2026-04-28 14:00:00;2026-04-28 15:30:00
70067;2;20251112;2026-04-28 14:00:00;2026-04-28 15:30:00
70068;1;20251114;2026-04-28 14:00:00;2026-04-28 15:30:00
70069;2;20251116;2026-04-28 14:00:00;2026-04-28 15:30:00
70070;3;20251118;2026-04-28 14:00:00;2026-04-28 15:30:00
70071;1;20251120;2026-04-28 14:00:00;2026-04-28 15:30:00
70072;2;20251122;2026-04-28 14:00:00;2026-04-28 15:30:00
70073;2;20251124;2026-04-28 14:00:00;2026-04-28 15:30:00
70074;3;20251126;2026-04-28 14:00:00;2026-04-28 15:30:00
70075;1;20251128;2026-04-28 14:00:00;2026-04-28 15:30:00
70076;2;20251130;2026-04-28 14:00:00;2026-04-28 15:30:00
