id_registro;id_medico;id_tempo;id_protocolo;aderente_ao_protocolo;tempo_fechamento_prontuario_min
80000;3;20250701;2;True;29
80001;1;20250703;2;False;47
80002;2;20250705;1;True;52
80003;1;20250707;1;False;58
80004;3;20250709;1;True;50
80005;3;20250711;2;False;46
80006;2;20250713;1;True;60
80007;3;20250715;2;False;16
80008;2;20250717;2;True;16
80009;3;20250719;2;True;26
80010;1;20250721;1;False;6
80011;2;20250723;1;False;44
80012;1;20250725;1;True;50
80013;1;20250727;2;False;41
80014;2;20250729;2;False;37
80015;1;20250731;2;True;49
80016;3;20250802;2;False;27
80017;1;20250804;2;True;23
80018;2;20250806;1;True;10
80019;1;20250808;1;True;9
80020;2;20250810;2;True;8
80021;3;20250812;1;True;23
80022;2;20250814;2;True;25
80023;2;20250816;1;True;44
80024;3;20250818;1;True;26
80025;1;20250820;1;False;50
80026;2;20250822;1;False;19
80027;3;20250824;2;False;28
80028;2;20250826;2;True;20
80029;1;20250828;2;True;33
80030;2;20250830;1;True;37
80031;1;20250901;1;True;8
80032;2;20250903;1;True;13
80033;3;20250905;1;True;35
80034;3;20250907;1;True;50
80035;2;20250909;2;True;26
80036;1;20250911;2;False;48
80037;1;20250913;1;True;30
80038;3;20250915;2;False;38
80039;1;20250917;2;False;60
80040;3;20250919;1;True;14
80041;2;20250921;1;True;52
80042;2;20250923;2;False;51
80043;1;20250925;1;False;21
80044;2;20250927;1;False;49
80045;1;20250929;1;True;46
80046;3;20251001;2;True;41
80047;3;20251003;2;True;45
80048;1;20251005;2;False;31
80049;3;20251007;1;True;14
80050;3;20251009;1;False;18
80051;3;20251011;2;True;55
80052;3;20251013;1;True;9
80053;1;20251015;1;True;13
80054;3;20251017;2;True;29
80055;1;20251019;2;False;52
80056;3;20251021;2;True;9
80057;2;20251023;1;False;52
80058;2;20251025;2;True;14
80059;2;20251027;2;False;56
80060;2;20251029;1;False;35
80061;2;20251031;2;True;60
80062;1;20251102;1;True;27
80063;1;20251104;2;False;45
80064;3;20251106;2;False;27
80065;1;20251108;2;True;5
80066;1;20251110;1;False;36
80067;1;20251112;2;False;8
80068;1;20251114;2;True;58
80069;1;20251116;1;True;7
80070;1;20251118;2;False;36
80071;2;20251120;1;False;55
80072;3;20251122;1;False;28
80073;2;20251124;2;False;22
80074;3;20251126;2;True;47
80075;2;20251128;1;False;20
80076;2;20251130;2;True;33
80077;3;20251202;2;False;57
80078;3;20251204;1;True;44
80079;3;20251206;2;True;11
80080;1;20251208;1;True;24
80081;2;20251210;1;False;39
80082;2;20251212;1;True;52
80083;3;20251214;2;True;39
80084;2;20251216;1;False;42
80085;2;20251218;1;True;15
80086;1;20251220;1;True;20
80087;3;20251222;1;True;9
80088;2;20251224;1;False;60
80089;2;20251226;2;True;37
80090;1;20251228;1;False;59
80091;3;20251230;1;True;26
80092;3;20260101;1;False;6
80093;1;20260103;1;True;13
80094;3;20260105;1;True;16
80095;1;20260107;2;False;14
80096;2;20260109;1;True;51
80097;2;20260111;1;False;44
80098;2;20260113;1;True;36
80099;2;20260115;2;True;55
80100;1;20260117;2;False;14
80101;1;20260119;2;True;19
80102;3;20260121;2;False;35
80103;2;20260123;2;True;24
80104;2;20260125;2;True;50
80105;3;20260127;2;True;42
80106;2;20260129;1;True;48
80107;2;20260131;1;False;24
80108;2;20260202;2;True;48
80109;2;20260204;2;True;38
80110;3;20260206;1;False;8
80111;2;20260208;1;True;24
80112;3;20260210;2;True;45
80113;1;20260212;1;True;39
80114;2;20260214;2;True;18
80115;2;20260216;2;True;21
80116;3;20260218;1;False;56
80117;3;20260220;2;True;5
80118;1;20260222;2;False;37
80119;1;20260224;1;False;7
80120;3;20260226;2;True;52
80121;2;20260228;2;True;49
80122;1;20260302;2;True;23
80123;1;20260304;2;True;49
80124;2;20260306;2;False;54
80125;1;20260308;1;True;29
80126;3;20260310;1;True;13
80127;1;20260312;1;True;13
80128;2;20260314;1;False;55
80129;2;20260316;1;False;40
80130;2;20260318;1;False;37
80131;2;20260320;1;True;51
80132;3;20260322;2;True;37
80133;2;20260324;2;False;42
80134;3;20260326;1;True;41
80135;2;20260328;1;True;46
80136;3;20260330;2;True;21
80137;3;20260401;2;True;39
80138;2;20260403;1;True;20
80139;3;20260405;2;True;5
80140;1;20260407;2;True;44
80141;3;20260409;1;True;24
80142;2;20260411;1;True;30
80143;1;20260413;2;True;56
80144;2;20260415;1;True;58
80145;2;20260417;2;True;10
80146;1;20260419;1;False;18
80147;2;20260421;1;True;22
80148;2;20260423;2;True;49
80149;1;20260425;2;False;27
80150;3;20260427;1;True;38
80151;3;20260429;2;True;50
