id_escala;id_medico;id_tempo;status_presenca;horas_atraso
188708;1;20250701;Falta Justificada;0
174941;2;20250701;Presente;2
137989;3;20250701;Presente;1
167333;1;20250702;Presente;1
113746;2;20250702;Falta Justificada;0
98538;3;20250702;Presente;1
134132;1;20250703;Presente;0
138101;2;20250703;Presente;2
93865;3;20250703;Presente;2
94643;1;20250704;Presente;2
138028;2;20250704;Presente;1
169012;3;20250704;Presente;2
141919;1;20250705;Presente;0
97431;2;20250705;Presente;1
113163;3;20250705;Falta Justificada;0
182260;1;20250706;Presente;0
127686;2;20250706;Presente;0
175399;3;20250706;Presente;1
133912;1;20250707;Presente;1
139848;2;20250707;Falta Justificada;0
126631;3;20250707;Presente;2
114188;1;20250708;Falta Justificada;2
117022;2;20250708;Presente;2
121368;3;20250708;Falta Justificada;0
178508;1;20250709;Falta Justificada;0
144710;2;20250709;Falta Justificada;2
99490;3;20250709;Falta Justificada;1
135661;1;20250710;Presente;2
157804;2;20250710;Falta Justificada;1
117548;3;20250710;Falta Justificada;1
175194;1;20250711;Presente;2
105430;2;20250711;Presente;0
159756;3;20250711;Falta Justificada;2
172494;1;20250712;Presente;2
119118;2;20250712;Presente;2
179869;3;20250712;Presente;2
132373;1;20250713;Presente;1
182901;2;20250713;Presente;1
139623;3;20250713;Presente;0
142193;1;20250714;Falta Justificada;0
122364;2;20250714;Falta Justificada;2
144021;3;20250714;Falta Justificada;1
117294;1;20250715;Falta Justificada;2
127261;2;20250715;Presente;1
127464;3;20250715;Presente;0
165648;1;20250716;Presente;1
132666;2;20250716;Presente;2
171984;3;20250716;Falta Justificada;1
105831;1;20250717;Presente;1
106421;2;20250717;Presente;1
178105;3;20250717;Presente;2
118753;1;20250718;Falta Justificada;0
125163;2;20250718;Falta Justificada;0
137428;3;20250718;Falta Justificada;0
139726;1;20250719;Falta Justificada;2
127741;2;20250719;Presente;1
128089;3;20250719;Presente;0
102911;1;20250720;Falta Justificada;2
160201;2;20250720;Presente;2
102830;3;20250720;Presente;0
111719;1;20250721;Presente;0
180807;2;20250721;Falta Justificada;2
159084;3;20250721;Presente;2
139736;1;20250722;Falta Justificada;0
161580;2;20250722;Presente;2
136365;3;20250722;Presente;0
136115;1;20250723;Presente;2
98777;2;20250723;Presente;0
186618;3;20250723;Falta Justificada;2
90594;1;20250724;Presente;1
135671;2;20250724;Presente;2
164943;3;20250724;Falta Justificada;2
138566;1;20250725;Presente;2
139526;2;20250725;Presente;2
113082;3;20250725;Presente;2
156073;1;20250726;Presente;1
113676;2;20250726;Presente;1
176041;3;20250726;Falta Justificada;2
105278;1;20250727;Presente;0
150852;2;20250727;Presente;1
184381;3;20250727;Presente;0
171783;1;20250728;Presente;1
138254;2;20250728;Falta Justificada;2
176241;3;20250728;Falta Justificada;0
155376;1;20250729;Presente;0
110578;2;20250729;Presente;0
179975;3;20250729;Falta Justificada;0
117754;1;20250730;Presente;1
185382;2;20250730;Falta Justificada;0
119309;3;20250730;Falta Justificada;0
183732;1;20250731;Falta Justificada;0
99028;2;20250731;Presente;1
160542;3;20250731;Falta Justificada;2
187662;1;20250801;Presente;0
179432;2;20250801;Presente;2
137863;3;20250801;Presente;2
134335;1;20250802;Falta Justificada;1
189070;2;20250802;Presente;0
107239;3;20250802;Falta Justificada;2
107803;1;20250803;Presente;1
174824;2;20250803;Presente;0
161843;3;20250803;Falta Justificada;0
186340;1;20250804;Falta Justificada;0
103217;2;20250804;Falta Justificada;1
164330;3;20250804;Falta Justificada;0
92892;1;20250805;Presente;2
176280;2;20250805;Presente;0
93325;3;20250805;Presente;0
96461;1;20250806;Presente;2
133312;2;20250806;Falta Justificada;0
187845;3;20250806;Presente;0
159044;1;20250807;Falta Justificada;0
129263;2;20250807;Presente;2
135839;3;20250807;Falta Justificada;0
137878;1;20250808;Presente;0
116994;2;20250808;Falta Justificada;1
100842;3;20250808;Presente;1
154901;1;20250809;Falta Justificada;1
90284;2;20250809;Falta Justificada;2
112360;3;20250809;Presente;2
138441;1;20250810;Falta Justificada;0
168184;2;20250810;Presente;2
121492;3;20250810;Falta Justificada;1
138388;1;20250811;Falta Justificada;1
161472;2;20250811;Presente;1
160945;3;20250811;Presente;2
184590;1;20250812;Presente;1
161415;2;20250812;Falta Justificada;1
94617;3;20250812;Falta Justificada;2
174166;1;20250813;Presente;0
112332;2;20250813;Presente;0
139574;3;20250813;Falta Justificada;1
178791;1;20250814;Falta Justificada;0
115815;2;20250814;Falta Justificada;0
126198;3;20250814;Presente;1
131449;1;20250815;Falta Justificada;2
157897;2;20250815;Presente;0
167088;3;20250815;Falta Justificada;0
94627;1;20250816;Falta Justificada;0
186588;2;20250816;Presente;1
149899;3;20250816;Presente;0
143431;1;20250817;Presente;1
104221;2;20250817;Presente;2
151225;3;20250817;Presente;0
107581;1;20250818;Presente;1
161699;2;20250818;Presente;1
92576;3;20250818;Presente;2
162476;1;20250819;Presente;2
178555;2;20250819;Presente;2
147274;3;20250819;Presente;1
118270;1;20250820;Presente;1
154794;2;20250820;Presente;1
171193;3;20250820;Presente;0
124041;1;20250821;Presente;2
96558;2;20250821;Falta Justificada;0
159134;3;20250821;Presente;0
106927;1;20250822;Presente;0
176854;2;20250822;Presente;2
112882;3;20250822;Falta Justificada;2
128651;1;20250823;Falta Justificada;1
116022;2;20250823;Presente;2
91636;3;20250823;Falta Justificada;1
133249;1;20250824;Presente;0
111623;2;20250824;Falta Justificada;0
112896;3;20250824;Presente;2
187286;1;20250825;Presente;0
138711;2;20250825;Falta Justificada;0
129482;3;20250825;Presente;2
134712;1;20250826;Falta Justificada;1
150725;2;20250826;Presente;2
182603;3;20250826;Falta Justificada;2
129238;1;20250827;Falta Justificada;0
150390;2;20250827;Falta Justificada;1
127994;3;20250827;Presente;0
148641;1;20250828;Presente;1
176587;2;20250828;Presente;2
95837;3;20250828;Presente;2
117383;1;20250829;Presente;2
139953;2;20250829;Presente;0
124007;3;20250829;Presente;0
92226;1;20250830;Falta Justificada;1
120012;2;20250830;Presente;0
108734;3;20250830;Presente;1
125593;1;20250831;Presente;0
117779;2;20250831;Presente;1
151905;3;20250831;Falta Justificada;0
116809;1;20250901;Presente;0
136182;2;20250901;Presente;0
123392;3;20250901;Presente;2
123786;1;20250902;Presente;1
158168;2;20250902;Presente;0
172619;3;20250902;Falta Justificada;2
129274;1;20250903;Presente;1
120149;2;20250903;Presente;2
172054;3;20250903;Falta Justificada;0
98807;1;20250904;Presente;1
158798;2;20250904;Presente;0
123952;3;20250904;Presente;1
137491;1;20250905;Presente;0
157147;2;20250905;Falta Justificada;1
134412;3;20250905;Falta Justificada;1
172521;1;20250906;Presente;1
102640;2;20250906;Falta Justificada;1
181016;3;20250906;Falta Justificada;1
173966;1;20250907;Presente;0
107748;2;20250907;Falta Justificada;2
138909;3;20250907;Presente;2
