id_transacao;id_tempo;id_unidade;id_convenio;receita_bruta;valor_glosa_inicial;valor_glosa_recuperada;custos_operacionais;data_pagamento_prevista;data_pagamento_real
100000;20250701;3;1;8297;1244.55;414.85;3733.65;2026-04-30;2026-04-30
100001;20250703;3;1;9963;1494.45;498.15000000000003;4483.35;2026-04-30;2026-04-30
100002;20250705;2;1;9000;1350.0;450.0;4050.0;2026-04-30;2026-04-30
100003;20250707;1;2;9145;1371.75;457.25;4115.25;2026-04-30;2026-04-30
100004;20250709;1;2;3225;483.75;161.25;1451.25;2026-04-30;2026-04-30
100005;20250711;3;2;2471;370.65;123.55000000000001;1111.95;2026-04-30;2026-04-30
100006;20250713;2;1;8723;1308.45;436.15000000000003;3925.35;2026-04-30;2026-04-30
100007;20250715;3;2;3370;505.5;168.5;1516.5;2026-04-30;2026-04-30
100008;20250717;1;1;4611;691.65;230.55;2074.9500000000003;2026-04-30;2026-04-30
100009;20250719;1;2;8515;1277.25;425.75;3831.75;2026-04-30;2026-04-30
100010;20250721;2;1;5636;845.4;281.8;2536.2000000000003;2026-04-30;2026-04-30
100011;20250723;2;1;9583;1437.45;479.15000000000003;4312.35;2026-04-30;2026-04-30
100012;20250725;1;2;8648;1297.2;432.40000000000003;3891.6;2026-04-30;2026-04-30
100013;20250727;1;2;7839;1175.85;391.95000000000005;3527.55;2026-04-30;2026-04-30
100014;20250729;2;2;8521;1278.1499999999999;426.05;3834.4500000000003;2026-04-30;2026-04-30
100015;20250731;3;1;7105;1065.75;355.25;3197.25;2026-04-30;2026-04-30
100016;20250802;3;1;4708;706.1999999999999;235.4;2118.6;2026-04-30;2026-04-30
100017;20250804;1;1;1950;292.5;97.5;877.5;2026-04-30;2026-04-30
100018;20250806;3;2;8996;1349.3999999999999;449.8;4048.2000000000003;2026-04-30;2026-04-30
100019;20250808;3;1;8629;1294.35;431.45000000000005;3883.05;2026-04-30;2026-04-30
100020;20250810;3;1;1702;255.29999999999998;85.10000000000001;765.9;2026-04-30;2026-04-30
100021;20250812;1;1;6430;964.5;321.5;2893.5;2026-04-30;2026-04-30
100022;20250814;1;2;8350;1252.5;417.5;3757.5;2026-04-30;2026-04-30
100023;20250816;2;2;9510;1426.5;475.5;4279.5;2026-04-30;2026-04-30
100024;20250818;2;1;9583;1437.45;479.15000000000003;4312.35;2026-04-30;2026-04-30
100025;20250820;1;2;970;145.5;48.5;436.5;2026-04-30;2026-04-30
100026;20250822;3;2;1706;255.89999999999998;85.30000000000001;767.7;2026-04-30;2026-04-30
100027;20250824;2;2;8001;1200.1499999999999;400.05;3600.4500000000003;2026-04-30;2026-04-30
100028;20250826;3;1;2391;358.65;119.55000000000001;1075.95;2026-04-30;2026-04-30
100029;20250828;1;2;6866;1029.8999999999999;343.3;3089.7000000000003;2026-04-30;2026-04-30
100030;20250830;2;1;3950;592.5;197.5;1777.5;2026-04-30;2026-04-30
